topic_id,name,description,n_emails,representative_emails
T2292,Meeting Scheduling,"Internal communications about scheduling and coordinating meetings related to EGS accounting and finance issues, including participant availability and logistics.",28,"[""8463d94178876792"", ""292e2cb6cd8ea2e6"", ""44d839545bd3ed74"", ""64d0df921e429147"", ""6ac19d0a3ad691a3""]"
T2293,Diana Scholtes Correspondence,Email communications involving Diana Scholtes with external parties like Premier Pump Company and internal Enron colleagues discussing business processes and file sharing.,15,"[""85421d5073880ab3"", ""cd8f8c0099f2e7da"", ""7d5beea61358527e"", ""a2118ce4f0f6754f"", ""6b63f53920c39255""]"
T2294,Terminated Employee Benefits,"Discussions about benefits distribution for terminated employees, particularly regarding Cash Balance Plan payouts and processing timelines.",22,"[""b7ab9392d3dd5dcb"", ""25f465ae7eebffe6"", ""d15ce77f34a3c871"", ""8b8e932cdb919536"", ""9d96a6a2bc118a8d""]"
T2295,Prepaid Swap Transactions,"Discussions and documentation related to prepaid swap transactions, including prepayment deals, deal structuring, and transaction diagrams for financial instruments.",54,"[""7000c2a085d57386"", ""e01925f7b1831bf5"", ""badeaf5157853469"", ""1fe022934c337139"", ""c33ee1891ce9b31f""]"
T2296,Event Invitations,"Internal emails discussing invitations to corporate events, meetings, and employee appreciation gatherings.",24,"[""7b24bc6841807f90"", ""c7443759ecda482d"", ""7cd3ae6496a27151"", ""699e5c008318cdf8"", ""7eeceb039ad311bc""]"
T2297,Contract Confirmation Negotiations,"This topic involves the negotiation and documentation of energy trading contract terms, including confirms, pricing adjustments, and master agreements with counterparties.",37,"[""519a23965e3a6ec8"", ""214766c1cdb818e3"", ""57b3f658fa5623e4"", ""40becec2d89dac12"", ""228691b170b79ec5""]"
T2298,Contract Status Inquiries,Internal emails from Enron staff tracking the status and review progress of various gas transmission and IT contracts.,11,"[""886b5a1492b1a23c"", ""ce354b28599ee068"", ""114b16e968b1c036"", ""7cb399783f6bb0ec"", ""66330248faf9b248""]"
T2299,Meeting Coordination,"Emails discuss scheduling a follow-up meeting, confirming attendance, and preparing agenda items such as pipeline scheduling and nomination processes.",12,"[""74fe18ea0dbbe021"", ""bd951100bda7285b"", ""1b5fdb4f15a3011b"", ""64d7b9f1781f2372"", ""dd954703f16f5123""]"
T2300,Meeting Coordination,Internal communications about scheduling and coordinating meetings with BP Amoco and TW Shipper Imbalance/OBA parties.,24,"[""3d6b8f722cf2fa03"", ""6499c11af9bb51e7"", ""a3e2f070313baba2"", ""8389cfa1d3bd01b3"", ""faf7eda2415b5812""]"
T2301,Transwestern Customer Update,"Coordination of Transwestern's November 2001 customer meeting, including attendee management, training sessions, and system update communications.",18,"[""e37a38878d9d9c03"", ""08b5e915b4dc5672"", ""9688723c280300ea"", ""220c5722c342075c"", ""73391259159afa5f""]"
T2302,Corporate Video Coordination,This topic involves requests and coordination for producing and managing video content for Enron corporate events and conferences.,74,"[""b9045f3a0edbb603"", ""6841037e02e41066"", ""bb9173260749e339"", ""80b7ebab9496a8b2"", ""8017518a1c56d1b8""]"
T2303,Kern Assignment Agreements,Legal review and approval process for assignment agreements related to Kern River's transportation service agreements and expansion projects.,61,"[""d35ed0fdde76f066"", ""2b04d7b98b616c60"", ""b9be58c51f949fcc"", ""92454d597ed9411f"", ""12dae72591fc4291""]"
T2304,Professional References,"This topic covers professional reference requests, recommendations, and job application communications where employees seek references for licensing, career advancement, or job opportunities.",12,"[""938c7ab82a9de62a"", ""6c90318d0bb2d524"", ""d4912c7fa6999714"", ""f2f85ec1c06d270c"", ""46fd94b6e8652979""]"
T2305,Contract Administration,"Internal communications about managing gas trading contracts, including reassigning contracts, processing new contract requests, and handling contract documentation between Enron departments.",11,"[""4c345a16e714de50"", ""aaec7e1e624751a0"", ""3d3b77248167b92a"", ""02a196556cfbf7e7"", ""9d46515e0ee997c0""]"
T2306,Operational Risk Forum,"Emails announce and cancel operational risk forums, luncheons, and related meetings at Enron.",34,"[""ef6612819592d652"", ""28da75cc1a05c0ec"", ""4fa99dbbdd49e8d3"", ""1f1588775dc6bb29"", ""f380aaa41364ed10""]"
T2307,Pipeline Contract Management,"Administrative handling of gas pipeline transport contracts, including contract retrieval, agency agreements, scheduling, and entity-to-entity assignments.",13,"[""aa89cbd846518c27"", ""9f20fb116372be36"", ""214178ac894545dc"", ""b4668d0bc72b62e7"", ""718c0b1e111dba2e""]"
T2308,CPS Contract Negotiations,"Email exchanges regarding Enron's contract negotiations and bid clarifications with City Public Service (CPS), including contract revisions and gas supply agreements.",23,"[""1bc370a12985dbda"", ""b7c7f1a8c77714ad"", ""499821a3b7cde0ec"", ""8a746d107eaf9088"", ""fc1fdcae2334c458""]"
T2309,Contract Assignment Issues,Discussions regarding the assignment and transfer of ENA contracts and assets to AEP/HPL following the Triple Lutz transaction.,39,"[""4797393f91e66395"", ""1aec609f0ba4b7c5"", ""6398afd34a9a0400"", ""5cfae5cc6dcc1226"", ""5d812c7a2574fb2a""]"
T2310,Contract Agency Assignments,"Discussions regarding natural gas contract agency agreements, including Dynegy acting as agent for Texaco and the reassignment of gas marketing contracts to new entities.",36,"[""5f79762895648d85"", ""5737e72fe05ffd76"", ""89af486d16c253cb"", ""214bdb1ed95dc0a1"", ""c6961f3860aa3351""]"
T2311,Speaking Engagements,"Coordinating professional speaking engagements, workshops, and conference participation related to energy trading and risk management.",16,"[""37935535d659d018"", ""49f2492619dc8f7b"", ""46ec488ee5e5e7e2"", ""053f6e01722b4455"", ""2173dadbe1d92234""]"
T2312,Petronas Meeting Coordination,"Coordinating visits, meetings, and benchmarking exchanges with external parties, notably Petronas, to share risk‑management practices.",21,"[""818ee2d76f8aa649"", ""033e4e8c9eacabce"", ""78aded100ec45a64"", ""7bc087447692b9d3"", ""4039826082aebb5f""]"
T2313,Allegheny Setoff Negotiations,"Negotiations between Enron and Allegheny Energy regarding setoff provisions in their ISDA agreement, specifically addressing PUHCA regulatory constraints and ENA affiliates.",16,"[""2355aa03651ffb88"", ""7dffeb29a48a69ae"", ""5a0d028a88827521"", ""654c8b7f80f930b0"", ""dff1353e69628917""]"
T2314,CESG Committee Coordination,"Internal coordination and scheduling of CESG committee meetings involving Enron and external stakeholders to discuss California energy policy, particularly forward contracting issues.",13,"[""1e32ab518f63a989"", ""8373ba08ac7c5e43"", ""e0e3cec35b4f43aa"", ""1031f982edca67ba"", ""e38dddffa37aef21""]"
T2315,Assorted Reminders,"Various informal reminders covering personal errands, administrative updates, and social event requests.",20,"[""9dbeee8bf423fd51"", ""3e16c252cc010a99"", ""57394cff02144114"", ""13da24904ff4a357"", ""8fd8922843bb20ef""]"
T2316,Internal Reminders,"Internal reminder messages about meeting scheduling, administrative tasks, and personnel coordination at Enron.",32,"[""149d9457e86103b2"", ""bf5850d4fc362cd9"", ""332fea5f57590d27"", ""e734bfdfa7bcae70"", ""19645b294f37de73""]"
T2317,Letter Agreement Review,"Internal collaboration on reviewing, commenting, and finalizing business letters and agreements related to construction projects and facilities extensions.",25,"[""ca0ee21679fd68d2"", ""7e423615784da0ef"", ""f5e3d5e99af6f23c"", ""723d1a6a0c61801b"", ""7e0f2c3d5e539318""]"
T2318,Joint Petition Filing,"Legal and regulatory communications regarding a joint petition filed by Enron and Gulf Power with WFEC, including draft documents, affidavit content, and hearing updates.",62,"[""538b95bead921a90"", ""22ada556f2e89093"", ""ce0128a5371a690e"", ""9d8110df6f48a6cf"", ""4d25188013077615""]"
T2319,Energy Research Inquiries,"Academic and professional inquiries about electricity pricing, derivatives, risk management, and related research topics directed to Enron's research leadership.",20,"[""4e596ce3c6588b07"", ""3d1fc0aed8ba283f"", ""49af669ba6f043f1"", ""b4fff9911e4f47fa"", ""7726b255b87c9b4d""]"
T2320,Weather Derivatives,"Internal discussions and scheduling regarding weather derivatives demonstrations, consulting with external firms like Stratus and Lacima, and coordinating related meetings and presentations.",13,"[""a6f9f72b4ac2f697"", ""48e81d447fb81f35"", ""f0816ee07da7a443"", ""9ab7d37c716aefb6"", ""36202265a0aed1dd""]"
T2321,EnronOnline Guest Access,External consultants requesting guest access to EnronOnline and collaborating on risk management guides for electricity hedging.,19,"[""181dc9033041b7c6"", ""7bc85b73902526ea"", ""5df0b8946fd47b52"", ""6318d787ca62a582"", ""03a4c895c9cd40ed""]"
T2322,Energy Conference Sponsorships,"Enron's participation in and sponsorship of academic and industry conferences on energy and electricity policy, including coordination of keynote speakers and discussants.",90,"[""e67f3a61f423dbe3"", ""7bbf8cceaff6a923"", ""43251be4df6233b9"", ""29541bd0cffb3ff7"", ""803216f1cec925af""]"
T2323,National Energy Policy,"Emails discussing President Bush's National Energy Policy, including conservation measures, policy analysis, and industry implications.",27,"[""061afc5b9af721ed"", ""6c3b6f176c59dfeb"", ""6fad6849ba127b36"", ""a163012a8617f50b"", ""84848a5cca7d6542""]"
T2324,Omnibus Confirmation Processing,Preparation and review of confirmation documents and annexes for derivatives trading counterparties.,23,"[""6237ca71f289a737"", ""82a5c791b429351a"", ""f8bca276d2f82f1f"", ""0d0af96410acac06"", ""47132faa7c43d2b0""]"
T2325,Administrative correspondence,"Routine administrative and legal communications related to corporate operations including HR integration, compliance requirements, and document management.",13,"[""13d18e26a4459a7c"", ""25ff33a1fea5210f"", ""47fa0dd3e802d852"", ""55baef7c08bb1e66"", ""1d5a297511641226""]"
T2326,Visitor Scheduling,Coordinating scheduling and logistics for external academic visitors to Enron.,59,"[""41817b1b2d353c51"", ""7f205058f479e587"", ""64a53c42885d9d33"", ""e76c8cbbc3a68cb6"", ""d21dd4b79b011c2b""]"
T2327,Contract Approval Process,"Internal communications regarding the approval, negotiation, and signing of executive employment contracts and associated compensation terms.",14,"[""d88b284c9724babd"", ""3b6b277972e9ef26"", ""fc2b158e0ff0a3ac"", ""bb64b5a986259dd5"", ""d5f011ef2ce4e62b""]"
T2328,Gas Transportation Contracts,"Managing pipeline transportation agreements, including contract amendments, capacity adjustments, and rate confirmations for natural gas transport.",36,"[""d7fc5702781d9d42"", ""11391a7b1e1a84cd"", ""0ac2382e0168ad6b"", ""ded93d6a367e5a89"", ""5468375d26783a58""]"
T2329,Pipeline Point Management,"This topic covers the administration of gas pipeline points of interest (POIs), including map updates, meter configuration, and point activation status for transportation scheduling.",76,"[""0efa39dc092ebaa9"", ""4da3ff6e44744f49"", ""d316b75eccae40a8"", ""f877957bf8493e24"", ""7cd8a1662db81cf9""]"
T2330,Online Trading Platforms,"Enron's efforts to establish trading agreements and business relationships with online bond trading platforms like Buy Side Direct, LIMITrader, and Trading Edge.",60,"[""257c5b29034843d9"", ""7e935c111b4a74a2"", ""b986ecdb562866aa"", ""36c821c0c692b11f"", ""04db445b2d5bf264""]"
T2331,Rescinding Employment Offers,"This topic covers the process, legal considerations (particularly ADEA compliance), documentation requirements, and timing for rescinding employment offers at Enron.",10,"[""8b55161ca8839b25"", ""c6e192a42ac916d1"", ""400194d561bd04e6"", ""40308d32d8731197"", ""ddb25d4affefa3df""]"
T2332,International Derivatives Trading,Legal and regulatory inquiries about derivative transactions with international and governmental counterparties across different jurisdictions.,19,"[""b7bcd4f1332d2190"", ""ec5e4fdb24bc815c"", ""a3c8be0fb74c710c"", ""7b5559b7e86af5de"", ""4f2fa10ba21c12c4""]"
T2333,Contract Confirmation Review,"Review and processing of contract documentation for energy trading deals, including provisions, credit approvals, and counterparty agreements.",14,"[""a82eb0eb8913ba3d"", ""087002a2007b06e7"", ""b6357f6bef240f23"", ""fb3a11377a3d519f"", ""ccc569209170d095""]"
T2334,Employment Contracts,"Internal communications about drafting, negotiating, and executing employment agreements for various employees, including contract terms and signature approvals.",11,"[""4adf4f6c15cd7ef6"", ""10bceb0767571f7d"", ""208e6a2cfb11320a"", ""5767a372fcc144a9"", ""94e2721b2755700a""]"
T2335,Real Options Events,"Coordinating and attending conferences, presentations, and courses related to Real Options methodology at Enron.",68,"[""ed36ac0c6bd7f262"", ""20245994a9dc3955"", ""fcd606998e9fd1ae"", ""eb141b4f3ba9dc6b"", ""21dafdfe2abcc581""]"
T2336,Trade Confirmation Processing,"Administrative processing of omnibus trade confirmations and termination agreements, including credit review, legal sign-off, and documentation preparation for various energy sector counterparties.",77,"[""320b160fe8af8894"", ""5f15876b4abe65b6"", ""3fe8122253345e8c"", ""952a2572cbdab887"", ""7a163464f7050db6""]"
T2337,Poker Night Coordination,"Employees discuss scheduling, confirming attendance, and coordinating logistics for poker nights and related social gatherings.",28,"[""81beef44d6c2efbd"", ""9e87f9e8edf31e5d"", ""fb0694505667d14e"", ""3c552f92374281e1"", ""3042ae34cfc1b1b7""]"
T2338,Severance and Layoffs,"This topic covers communications about employee severance packages, workforce reductions, and related administrative procedures at Enron.",85,"[""8a2c9d9a462ee62a"", ""3a209fedcf689929"", ""55fd4ba44420bcbd"", ""8a0b4163e2901bd5"", ""644d9855bbc1a33d""]"
T2339,Employment Contract Management,"Internal communications regarding employment agreement revisions, salary provisions, and contract execution procedures for various employees.",71,"[""10ca2e965f1284a8"", ""7d22e848d4a81731"", ""7c7539fda496c65d"", ""df41d0baadb4b480"", ""73c920f0c1e9a79d""]"
T2340,Harvard Counterparty Onboarding,"Email chain discussing the approval process for adding President & Fellows of Harvard College as a new counterparty, including legal review, trading restrictions, and ISDA agreement status.",11,"[""b116f95e38c16fae"", ""fbd327aaaccf151e"", ""d94ee9b19e0b1d5a"", ""f2c022adb9b658bf"", ""5d4755a5341dbac7""]"
T2341,CMU Recruiting,"Enron's recruiting activities and collaborations with Carnegie Mellon University's computational finance program, including speaker series and candidate recommendations.",23,"[""35cd7179e5ab5ff7"", ""e073dfdc6b45162e"", ""d92930e924e0ab3e"", ""09a4bb0b6d000835"", ""c8b7e69927c15ffd""]"
T2342,Recommendation Letter Requests,Internal communications about writing and processing recommendation letters for colleagues' academic and professional applications.,11,"[""8ff416f67a3cc832"", ""f282506b16105850"", ""3c09f9ddffda042d"", ""761abefccc458625"", ""59c253e1d50fac00""]"
T2343,Summer Internship Inquiry,A correspondence between Enron staff and a prospective intern about arranging a summer internship and potential projects.,17,"[""5eccee8d82b35686"", ""aa8cce949783e44f"", ""913d3d1f4243e649"", ""3fe30e84abd4097f"", ""fbee0b52ca18dc47""]"
T2344,Candidate Referral Coordination,Vince Kaminski coordinates job interviews and hiring processes for a candidate named Yaron through Enron colleagues.,12,"[""1caec6c204b46f03"", ""d171f34858f0a2c1"", ""49129331f4edde15"", ""ec197603e7f9198b"", ""8776e673b8372394""]"
T2345,Compression Confidentiality Agreements,Requests for and coordination of confidentiality agreements related to potential compression projects and services with various companies.,32,"[""1bebccc2d266e13f"", ""ce331897de047f63"", ""d9d7567d18505122"", ""b7385ed75c73570e"", ""2495b5398651c2b7""]"
T2346,Social Plans,"Personal communications about scheduling social events, dinner reservations, travel plans, and birthday wishes between Carson Llewellyn and Sara Shackleton.",28,"[""7c29a2cd2c71176c"", ""f9fe9b3bc7c3af28"", ""57b2f2d5d6329f6c"", ""ecc28225645cf78a"", ""d02359a8ed35ecd0""]"
T2347,Risk Research Collaboration,"Discussions and collaborations on risk management research and presentations at Enron, involving partnerships with academic institutions and technology firms.",22,"[""993a288ae53cbdc1"", ""7daf53ed21ba2e7c"", ""33603f1ae38b07b8"", ""607e45a87b6f45a3"", ""3b4c197fefaa5e79""]"
T2348,Bank of America CSA,Internal communications regarding the processing and signing of Bank of America ISDA Credit Support Annex documents and related amendments.,11,"[""6a26f6c1384364bb"", ""69eb9e9e31ef759d"", ""2ef460f0e3adb275"", ""130aab882e6c9adc"", ""e4a8ffbc7492367f""]"
T2349,Exposure Threshold Amendment,"Communications regarding the Fourth Amendment to the Master Energy Price Swap Agreement between Enron and Morgan Stanley, specifically addressing modifications to the Exposure Threshold definition and credit rating thresholds.",10,"[""36285800a1bd0ec6"", ""f3f35099df349c1a"", ""2a0d3cf5a394fdcf"", ""dc2f94265c514cbe"", ""0b9867ef7fa9e8d1""]"
T2350,San Juan Purchase Deal,"Negotiations regarding the San Juan wellhead purchase, including LOI terms, purchase agreements, credit concerns, and monetization structures.",15,"[""da57a070a2f7bed5"", ""87eebaa440c6d60f"", ""c440792766f7f577"", ""71dc447d8a3eb7a1"", ""1a29e874b29e80cd""]"
T2351,Stan Horton Communications,"Internal coordination and administrative communications related to Stan Horton's involvement with the Natural Gas Council, meeting scheduling, and external presentations.",44,"[""b360a9467fcf3dee"", ""6fe28992c3ca4494"", ""2e177a40b5c91dec"", ""63c6b3622f649795"", ""559b10c0f86bd371""]"
T2352,ISDA Amendment Processing,"Communications regarding ISDA agreement amendments, credit approvals, and guarantee documentation between TransAlta and Enron North America.",14,"[""54deb39a472add55"", ""8f1a6ee4b9263d6c"", ""4901aaa93f727e3e"", ""62fbdf8204f184f2"", ""abe6264b6337f1fd""]"
T2353,Financial Confirmation Process,"This topic covers issues and improvements related to the financial confirmation process, including operational challenges between Houston and Calgary offices.",66,"[""2b06e898e656adc6"", ""7eeb8e51f2e6ff67"", ""cf872502c8063807"", ""36ee3e576a8cb809"", ""5b234a530becfb9b""]"
T2354,Huber Transaction Agreements,Discussions and document exchanges regarding Huber transaction agreements and capacity release terms.,34,"[""d1c7b673b4eb043b"", ""1e27beaf7249a1dc"", ""f7e53b072c7941d4"", ""4ef14261fd39facf"", ""279803671b9e2c8e""]"
T2355,Wisconsin Public Service Contract Review,"Legal communications concerning the review, timeline, and follow-up on a contract with Wisconsin Public Service.",14,"[""0825d723bc6bfaeb"", ""f0bc298d5206e869"", ""e0651bc38c7edda8"", ""22cf8bb7f6d253c5"", ""0112a17744180af7""]"
T2356,Grant Masson Rehire,"Internal discussions about rehiring former employee Grant Masson, including compensation, offer letters, and planning a welcome party.",14,"[""6a2bec34b165c67c"", ""5f46d6ab3b07770b"", ""cd88f0005c524f44"", ""f48c027f6d224459"", ""9a9b49a3b5fb5cb0""]"
T2357,EnronOnline Trader Coordination,"Internal emails coordinating trader focus groups, meetings, and status updates for EnronOnline trading activities.",35,"[""3043241a24436b75"", ""e5925a1677e83211"", ""69b32523c8b75744"", ""c01572588eca485d"", ""cea77f6409c12cfd""]"
T2358,Huber Contract Execution,"Internal communications regarding the execution, handling, and status of Huber transaction agreements and contract documents.",21,"[""a6bb4edbe9936f81"", ""1002546b1de0f598"", ""b688bfffef4d0426"", ""0cdf22d1ab13a04b"", ""32b264cab4c82b5a""]"
T2359,Trailblazer Precedent Agreements,"This topic covers Trailblazer Pipeline precedent agreements, including assignment of contracts to third parties like J.M. Huber Corporation and open season participation procedures.",19,"[""27ccbfb9991675eb"", ""3bf70d765e7901d4"", ""18614ca1df258ea0"", ""0b7b0bad9e045fea"", ""55cf7275a4673b3b""]"
T2360,APEA Swap Transaction,"Internal coordination and management of a swap transaction with counterparty APEA, including settlement timing, financial versus physical components, and exposure management.",49,"[""bad7d3a7170f942a"", ""7a7199b8b34c7ee8"", ""8c7ada640ad7ca96"", ""6f3a9f55a57db969"", ""e01efc3d3ba8bc3e""]"
T2361,Risk Management Literature Requests,"This topic covers internal and external requests for copies of risk management books, papers, and articles, including distribution to colleagues and inquiries about similar publications on topics like energy price risk and interest rates.",56,"[""0c44438d29e41dda"", ""aa66bbe7a0f50dc6"", ""d9a5b11867600285"", ""f884566272a9939d"", ""83abea769bea9994""]"
T2362,EPRM Article Review,"The emails discuss reviewing, editing, and providing feedback on the EPRM article for publication.",17,"[""aaf88c11bc7411c2"", ""f6c1356e50731896"", ""3c9402e27cf9bdea"", ""1d9af1d44b9b9e46"", ""13ffeebf364559b3""]"
T2363,Recruiter Outreach,External recruiters from staffing firms contacting Enron employees about job opportunities and career placements in the energy and finance industries.,28,"[""d0bca6fa7a66c193"", ""0425ae050a3f3ec4"", ""111b189ef40fbe3e"", ""ca1c7a72a9252512"", ""ca5b39e073b4bacc""]"
T2364,Pipeline Asset Sale,"Discussions about evaluating, negotiating, and executing the potential sale of TW's Gomez lateral natural gas pipeline to prospective buyers, including due diligence requests, economic analysis, and buyer identification.",20,"[""a97a48cd3a89bd8d"", ""19d0fe40f5c9d499"", ""cb6e92c13989f855"", ""ffae33bf2acc8d21"", ""d5505c212d1ac941""]"
T2365,Risk Conference Speaking,Invitations for Vince Kaminski to speak at various risk management conferences and industry events.,66,"[""00edd1dee0dcbfc4"", ""1204d8690f834007"", ""ccf0d3f1c29ffa80"", ""545feab96a2f51c0"", ""35875c5049740c06""]"
T2366,GARP Convention Chairing,"Vince Kaminski from Enron being invited to chair the Energy and Corporate Risk Management stream at the GARP 2001 Convention, with coordination between Enron and GARP organizers.",11,"[""91d524c56f57738a"", ""2ffdc2912c9dccca"", ""dca67127226cab96"", ""c387e293999203f4"", ""1aed49a36ecadafe""]"
T2367,PJM UCAP Trading,"This topic covers the trading, pricing, and negotiation of PJM unforced capacity (UCAP) credits for various planning periods and customer needs.",13,"[""a9fc83cc354df759"", ""27f51404b2171aa3"", ""e928ad03b48570ab"", ""7003b30a5e199088"", ""dd06cbcabb68150d""]"
T2368,Contract Review Process,"This topic covers the review, negotiation, and execution of various master service and purchase agreements, including construction contracts and gas purchase/sale agreements.",29,"[""ac69723f4088d475"", ""b4659a87b2dc9489"", ""cb72584698521ec3"", ""d96f28df3baf5a7a"", ""fbee131e1bbfc97c""]"
T2369,GISB Contract Negotiations,"This topic covers the negotiation, review, and execution of GISB (Gas Industry Standards Board) agreements between Enron and various counterparties including Orion, GPU Energy, and Houston Energy Services.",418,"[""fb1fe397571351a5"", ""e5db3c69e64af9f4"", ""27d7d79ce2239424"", ""95af30cd5ae05b54"", ""5379c5d9869ba401""]"
T2370,GISB Contract Negotiations,"Internal discussions and approvals regarding GISB (Gas Industry Standardization Board) contract terms with energy trading partners Sempra and El Paso, including legal review, revisions, and bankruptcy court authorization.",26,"[""daaaf6b12b9a8f62"", ""4960e9876af5abd3"", ""69b7414de4c6562e"", ""40865cd26cb7f1ee"", ""d02c863c0435c995""]"
T2371,NY Energy Regulation,"This topic covers New York energy regulatory developments including competitive billing policies, environmental compliance requirements, and new power generation permitting in the state.",12,"[""00996400a1b95aad"", ""cd4584b584c6bab2"", ""e093713433d73852"", ""23f5944e1cf7cdf6"", ""1c3c4b6fa5d70221""]"
T2372,NYISO Regulatory Issues,"These emails discuss FERC orders and regulatory filings concerning NYISO's market operations, including bid caps, market design issues, and pricing complaints.",26,"[""a3b57b10ef2a7229"", ""6adf5f50453157f0"", ""65060efc966b405b"", ""896dfcf120004dd8"", ""a38e92dac4233cdd""]"
T2373,Fishing Activities,"Personal emails sharing fishing trip invitations, videos, and related recreational outdoor activities.",16,"[""79c3c63dd17bde64"", ""478d2d3412f8d872"", ""a18d706a9066804f"", ""1c080da7360ed045"", ""183568d019adf14a""]"
T2374,Cutter Oil Contracts,"Legal review and approval process for Cutter Oil Company contracts, agreements, and related documentation.",39,"[""9e74bd1776f8a3da"", ""2a2410e1a0a2b98b"", ""2650586caee3570c"", ""5499206076281c59"", ""5023018fc153f742""]"
T2375,ISDA Agreement Processing,Internal legal communications regarding processing of corporate guarantees and ISDA master agreements with Australian counterparties.,13,"[""170e1740ce450290"", ""13651f4ed5c5718a"", ""3f8d1e96334663a7"", ""7870a1c3c811f720"", ""1498bcfa02be2b03""]"
T2376,CSFB Brokerage Agreements,"Internal communications regarding the negotiation, execution, and tracking of CSFB prime brokerage and clearing agreements.",27,"[""6717eefc20bd9b26"", ""56a5ab503758de5f"", ""c8958cdc0f9a739a"", ""ae07c0be8b10165a"", ""e2c1931a306aa67c""]"
T2377,CSFB Agreement Execution,"Internal correspondence regarding the finalization, signature collection, and execution of a CSFB trading agreement, with urgency due to halted trading operations.",16,"[""270b725801a9732a"", ""891f0082ea72f54c"", ""42fafbb6e120eb58"", ""17055076f2f088d9"", ""ed3daca9fdc61041""]"
T2378,Board Meeting Coordination,"Emails discussing scheduling, coordination, and logistics for Enron's board and management committee meetings.",47,"[""4813c07d5f96f109"", ""fcfd46eb26a9bad7"", ""4acb7d60191330d9"", ""72c41ecb5998ebcd"", ""74f1b6908bdd920d""]"
T2379,Executive Committee Meetings,"Scheduling, rescheduling, and logistical coordination for executive committee meetings.",26,"[""39a285b00623ab23"", ""aa22aafd4455d5ed"", ""acabf972616fc9d3"", ""e7ebc4a6d695c667"", ""b6f1fd23f7233713""]"
T2380,Confirmation Agreement Review,"Discussions about confirmation agreements, contract review processes, and related legal opinions for Enron deals.",20,"[""2b984afc24c01f2f"", ""69529f35ac2b0a39"", ""3c1b10a5ee3a84b2"", ""93bcc4d3cb17ed5b"", ""f37e01109236a950""]"
T2381,EOG Pipeline Interconnects,"This topic covers pipeline interconnect projects for EOG wells, including connection logistics, flow rates, facility requirements, and cost estimates for gas delivery arrangements.",37,"[""33e33293e81e0375"", ""45af76abd79e9f74"", ""9065126e6f460db8"", ""011dd6ee63c299de"", ""2fd77de73c956adb""]"
T2382,NYISO Virtual Bidding,"Updates and technical issues related to NYISO's virtual bidding market system, including software releases, auction delays, and system problems.",39,"[""faec6bff8eb9f754"", ""fe57eb6b3ede18ba"", ""27690d7db8f99ed4"", ""3864ff60c03f3436"", ""198b13cb1cb56d10""]"
T2383,Parent Guarantee Requests,Legal review and processing of parent guarantee agreements between Enron North America and external counterparties.,21,"[""402ff82dfa9c1274"", ""cbff0bdd23998d81"", ""057fe6a0f4d58d75"", ""4a1ef4aa4a565e40"", ""7f81cba8b5f4d97d""]"
T2384,NYISO Price Reservations,"Notification of NYISO's reservation of specific hours in real-time and hour-ahead electricity markets, with day-ahead market prices confirmed.",24,"[""527edacd898a0ff1"", ""306e46f3a214b001"", ""72609120fc57d061"", ""ef79a4edbce0a855"", ""e1fc95cc7c861ac2""]"
T2385,NYISO Price Reservations,"NYISO electricity market price reservations, corrections, and monitoring notifications for Real-Time, Hour-Ahead, and Day-Ahead trading markets.",25,"[""a7c88315ef27ae77"", ""df99535eb0c0475f"", ""6cfd5d14ec8ae8fa"", ""48106b3dfb5d4dd6"", ""294d88161c49d193""]"
T2386,European Power Financing,"Correspondence regarding European power project financing transactions including FX deals, swaps, and Total Return Swaps for projects like Sutton Bridge and Riverside.",34,"[""f3d38aaa782656c7"", ""4919b5187caf1cd2"", ""f80ed1a455a43da6"", ""209e2b85e124efb1"", ""7ef52c6d52cfcc6c""]"
T2387,Order 637 Compliance,"This topic covers communications regarding FERC Order 637, including settlement conferences, imbalance provisions, protest filings, and related meetings.",38,"[""30ab35794c573a5a"", ""d9718da6d57635ce"", ""74ea47a6294ecb1c"", ""6ca005cbe3cb7e3f"", ""81d52e4bea6de258""]"
T2388,India GDR Holdings,"This topic covers Enron's India trading operations, including Global Depositary Receipt (GDR) holdings, trading account setup for Indian entities, and related compliance matters.",25,"[""a8ff8dd8a0b83c43"", ""8bad413a883d1fe1"", ""a42c494b0ff70387"", ""167c3d143bde27b6"", ""4bfc27c5d86310bb""]"
T2389,International Account Administration,"This topic covers the setup, documentation, and compliance requirements for brokerage accounts at Morgan Stanley for Enron's international subsidiaries like EPCA in Argentina.",17,"[""e042b0f50ae75d38"", ""74a0a0f5b8f60994"", ""be9c0db9414ed9ee"", ""df916e8927f32586"", ""9970bd7b1a75f461""]"
T2390,Smurfit-Stone Contract Negotiations,"Internal communications regarding contract negotiations, revisions, and extensions with Smurfit-Stone Container, including review of contract terms and red-line changes.",13,"[""f547f92dd8d50e3d"", ""902de32e805108aa"", ""5aee20071e86e743"", ""8df9bda085edbb9c"", ""d8ec48d3c4665b15""]"
T2391,Transwestern Capacity Trading,"This topic covers Transwestern pipeline's revenue-generating activities including capacity trading, firm transport agreements, and new shipper deals on EnronOnLine.",88,"[""07c60b2fecc51de3"", ""671d90bd090e19a7"", ""261be54e1c535656"", ""ba7f48138a6a0e20"", ""35fc89ce3ebf2d2b""]"
